GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Velocity,org.mybatis.scripting.velocity,WhereDirective,44,0,4,0,13,0,5,0,3,0
MyBatis Velocity,org.mybatis.scripting.velocity,SetDirective,44,0,4,0,13,0,5,0,3,0
MyBatis Velocity,org.mybatis.scripting.velocity,ParameterMappingSourceParser,31,0,0,0,8,0,3,0,3,0
MyBatis Velocity,org.mybatis.scripting.velocity,InDirective,406,0,36,0,95,0,23,0,5,0
MyBatis Velocity,org.mybatis.scripting.velocity,SQLScriptSource,109,0,2,0,20,0,4,0,3,0
MyBatis Velocity,org.mybatis.scripting.velocity,RepeatDirective,357,0,36,0,90,0,27,0,8,0
MyBatis Velocity,org.mybatis.scripting.velocity,Driver,34,0,4,0,5,0,6,0,4,0
MyBatis Velocity,org.mybatis.scripting.velocity,VelocityFacade,216,0,6,0,48,0,9,0,6,0
MyBatis Velocity,org.mybatis.scripting.velocity,ParameterMappingCollector,169,0,10,0,37,0,12,0,7,0
MyBatis Velocity,org.mybatis.scripting.velocity,RepeatDirective.RepeatScope,52,0,4,0,14,0,12,0,10,0
MyBatis Velocity,org.mybatis.scripting.velocity,FastLinkedList.Node,16,0,2,0,4,0,3,0,2,0
MyBatis Velocity,org.mybatis.scripting.velocity,RepeatDirective.NullHolderContext,56,0,12,0,13,0,10,0,4,0
MyBatis Velocity,org.mybatis.scripting.velocity,FastLinkedList,42,0,4,0,13,0,6,0,4,0
MyBatis Velocity,org.mybatis.scripting.velocity,ParameterMappingSourceParser.ParameterMappingTokenHandler,283,0,32,0,63,0,21,0,5,0
MyBatis Velocity,org.mybatis.scripting.velocity,TrimDirective.Params,86,0,2,0,28,0,12,0,11,0
MyBatis Velocity,org.mybatis.scripting.velocity,ParameterMappingCollector.PropertyInfo,12,0,0,0,5,0,1,0,1,0
MyBatis Velocity,org.mybatis.scripting.velocity,TrimDirective,296,0,50,0,76,0,32,0,7,0
